ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+Stemming,TASK1,ENGLISHSYSSUM1.TXT,0.46154,0.75000,0.57143,2
ROUGE-1+Stemming,TASK1,ENGLISHSYSSUM2.TXT,0.69231,0.19565,0.30508,2
ROUGE-1+Stemming,TASK2,PERSIANSYSSUM1.TXT,0.38475,0.97309,0.55146,1
